player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
147,Mosaddek Hossain,Bangladesh,Middle order Batter,38.0,39.0,2.0,2.0,5.0,7.0,2.0,64.0,0.0,0.0,2.0
148,Taskin Ahmed,Bangladesh,Bowler,23.0,30.0,2.0,1.0,4.0,18.0,8.0,131.0,1.0,0.0,4.0
149,Hasan Mahmud,Bangladesh,Bowler,0.0,5.0,0.0,0.0,2.0,16.0,6.0,134.0,1.0,5.0,1.0
150,Shariz Ahmad,Netherlands,Bowler,25.0,19.0,3.0,0.0,2.0,4.0,1.0,32.0,0.0,0.0,0.0
151,Shakib Al Hasan,Bangladesh,Allrounder,,,,,,19.0,6.0,167.0,0.0,1.0,1.0
152,Mustafizur Rahman,Bangladesh,Bowler,9.0,4.0,0.0,1.0,2.0,20.0,3.0,112.0,0.0,2.0,0.0
153,Fionn Hand,Ireland,Bowling Allrounder,12.0,11.0,2.0,0.0,3.0,5.0,1.0,54.0,0.0,5.0,0.0
154,George Munsey,Scotland,Opening Batter,121.0,106.0,16.0,0.0,3.0,,,,,,
155,Michael Jones,Scotland,Top order Batter,110.0,77.0,10.0,4.0,3.0,,,,,,
156,Matthew Cross†,Scotland,Wicketkeeper Batter,32.0,33.0,5.0,0.0,3.0,,,,,,
157,Richie Berrington(c),Scotland,Top order Batter,66.0,56.0,3.0,2.0,3.0,,,,,,
158,Calum MacLeod,Scotland,Top order Batter,48.0,43.0,5.0,0.0,3.0,1.0,0.0,11.0,0.0,0.0,0.0
159,Michael Leask,Scotland,Allrounder,33.0,28.0,4.0,0.0,3.0,10.0,4.0,67.0,0.0,1.0,0.0
160,Chris Greaves,Scotland,Bowler,19.0,18.0,2.0,0.0,2.0,2.0,0.0,18.0,0.0,1.0,0.0
161,Shamarh Brooks,West Indies,Top order Batter,4.0,12.0,0.0,0.0,2.0,,,,,,
162,Mark Watt,Scotland,Bowler,,,,,,12.0,5.0,70.0,0.0,3.0,0.0
163,Brad Wheal,Scotland,Bowler,,,,,,12.0,4.0,83.0,0.0,0.0,0.0
164,Josh Davey,Scotland,Bowler,4.0,3.0,0.0,0.0,1.0,10.0,3.0,96.0,0.0,2.0,1.0
165,Safyaan Sharif,Scotland,Bowler,,,,,,8.6,2.0,78.0,0.0,3.0,1.0
166,Quinton de Kock†,South Africa,Wicketkeeper Batter,124.0,77.0,16.0,5.0,5.0,,,,,,
167,Temba Bavuma(c),South Africa,Middle order Batter,70.0,62.0,6.0,2.0,5.0,,,,,,
168,Kagiso Rabada,South Africa,Bowler,10.0,10.0,0.0,0.0,2.0,16.0,2.0,151.0,0.0,2.0,0.0
169,Wayne Parnell,South Africa,Bowler,5.0,13.0,0.0,0.0,4.0,16.0,5.0,102.0,1.0,2.0,0.0
170,Lungi Ngidi,South Africa,Bowler,4.0,1.0,1.0,0.0,1.0,13.0,7.0,116.0,0.0,4.0,0.0
171,Keshav Maharaj,South Africa,Bowler,13.0,12.0,0.0,1.0,1.0,12.0,3.0,89.0,0.0,0.0,0.0
172,Anrich Nortje,South Africa,Bowler,5.0,6.0,1.0,0.0,2.0,17.3,11.0,94.0,0.0,0.0,1.0
173,Timm van der Gugten,Netherlands,Bowler,0.0,1.0,0.0,0.0,1.0,6.0,1.0,60.0,0.0,2.0,0.0
174,Finn Allen,New Zealand,Top order Batter,95.0,51.0,11.0,5.0,5.0,,,,,,
175,Devon Conway†,New Zealand,Wicketkeeper Batter,145.0,124.0,12.0,2.0,5.0,,,,,,
176,Kane Williamson(c),New Zealand,Top order Batter,178.0,153.0,11.0,5.0,5.0,,,,,,
177,Glenn Phillips,New Zealand,Wicketkeeper Batter,201.0,127.0,19.0,8.0,5.0,,,,,,
178,James Neesham,New Zealand,Batting Allrounder,53.0,37.0,2.0,2.0,5.0,,,,,,
179,Tim David,Australia,Middle order Batter,26.0,18.0,2.0,1.0,2.0,,,,,,
180,Matthew Wade†,Australia,Wicketkeeper Batter,9.0,7.0,1.0,0.0,2.0,,,,,,
181,Adam Zampa,Australia,Bowler,1.0,3.0,0.0,0.0,2.0,12.0,5.0,80.0,0.0,1.0,0.0
182,Trent Boult,New Zealand,Bowler,,,,,,20.0,8.0,148.0,0.0,3.0,0.0
183,Tim Southee,New Zealand,Bowler,5.0,3.0,1.0,0.0,2.0,17.2,7.0,114.0,1.0,3.0,0.0
184,Mitchell Santner,New Zealand,Bowling Allrounder,27.0,16.0,0.0,2.0,3.0,20.0,9.0,129.0,0.0,0.0,0.0
185,Lockie Ferguson,New Zealand,Bowler,,,,,,19.0,7.0,159.0,0.0,4.0,1.0
186,Ish Sodhi,New Zealand,Bowler,7.0,7.0,0.0,0.0,2.0,19.2,6.0,130.0,0.0,3.0,0.0
187,Aryan Lakra,U.A.E.,Bowler,1.0,3.0,0.0,0.0,1.0,3.0,1.0,24.0,0.0,0.0,0.0
188,Stephan Myburgh,Netherlands,Opening Batter,51.0,48.0,8.0,1.0,3.0,,,,,,
189,Brandon Glover,Netherlands,Bowler,,,,,,8.5,7.0,60.0,1.0,3.0,0.0
190,Shoriful Islam,Bangladesh,Bowler,,,,,,4.0,0.0,57.0,0.0,2.0,2.0
191,Daryl Mitchell,New Zealand,Allrounder,109.0,85.0,5.0,1.0,4.0,,,,,,
192,Kasun Rajitha,Sri Lanka,Bowler,8.0,21.0,0.0,0.0,1.0,11.0,3.0,94.0,0.0,4.0,3.0
193,Deepak Hooda,India,Allrounder,0.0,3.0,0.0,0.0,1.0,,,,,,
194,Rilee Rossouw,South Africa,Top order Batter,141.0,83.0,9.0,9.0,4.0,,,,,,
195,Aiden Markram,South Africa,Opening Batter,99.0,79.0,13.0,1.0,4.0,3.0,1.0,21.0,0.0,1.0,0.0
196,David Miller,South Africa,Middle order Batter,78.0,67.0,5.0,3.0,3.0,,,,,,
197,Tristan Stubbs,South Africa,Wicketkeeper Batter,31.0,31.0,2.0,1.0,3.0,,,,,,
198,Nasum Ahmed,Bangladesh,Bowler,7.0,6.0,1.0,0.0,1.0,4.0,1.0,14.0,0.0,2.0,0.0
199,Mohammad Haris,Pakistan,Middle order Batter,97.0,67.0,6.0,6.0,4.0,,,,,,
200,Mohammad Wasim,Pakistan,Allrounder,16.0,22.0,2.0,0.0,3.0,17.0,8.0,124.0,0.0,8.0,0.0
201,Ebadot Hossain,Bangladesh,Bowler,,,,,,3.1,1.0,25.0,0.0,0.0,1.0
202,Heinrich Klaasen,South Africa,Wicketkeeper Batter,36.0,27.0,3.0,1.0,2.0,,,,,,
203,Brad Evans,Zimbabwe,Allrounder,21.0,17.0,0.0,1.0,2.0,7.0,2.0,57.0,0.0,1.0,0.0
204,Fakhar Zaman,Pakistan,Opening Batter,20.0,16.0,3.0,0.0,1.0,,,,,,
205,Cameron Green,Australia,Batting Allrounder,3.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0
206,Steven Smith,Australia,Middle order Batter,4.0,4.0,1.0,0.0,1.0,,,,,,
207,Matthew Wade(c)†,Australia,Wicketkeeper Batter,6.0,8.0,1.0,0.0,1.0,,,,,,
208,Kane Richardson,Australia,Bowler,1.0,1.0,0.0,0.0,1.0,4.0,1.0,48.0,0.0,1.0,0.0
209,Gulbadin Naib,Afghanistan,Batting Allrounder,51.0,37.0,3.0,2.0,2.0,4.0,0.0,43.0,0.0,0.0,0.0
210,Darwish Rasooli,Afghanistan,Top order Batter,15.0,13.0,1.0,0.0,1.0,,,,,,
211,Naveen-ul-Haq,Afghanistan,Bowler,0.0,0.0,0.0,0.0,1.0,4.0,3.0,21.0,0.0,0.0,0.0
212,Rishabh Pant†,India,Wicketkeeper Batter,9.0,9.0,1.0,0.0,2.0,,,,,,
213,Tony Munyonga,Zimbabwe,Allrounder,7.0,10.0,1.0,0.0,2.0,,,,,,
214,Wellington Masakadza,Zimbabwe,Bowler,1.0,7.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0
215,Tabraiz Shamsi,South Africa,Bowler,1.0,1.0,0.0,0.0,1.0,8.0,4.0,56.0,0.0,4.0,0.0
216,Phil Salt,England,Wicketkeeper Batter,10.0,9.0,2.0,0.0,1.0,,,,,,
217,Chris Jordan,England,Bowler,,,,,,8.0,5.0,70.0,0.0,1.0,0.0
218,Regis Chakabva(c)†,Zimbabwe,Wicketkeeper Batter,13.0,9.0,3.0,0.0,1.0,,,,,,
219,Mehidy Hasan Miraz,Bangladesh,Allrounder,11.0,13.0,0.0,0.0,1.0,3.0,0.0,32.0,0.0,0.0,0.0
